HomeTeam,AwayTeam,FTHG,FTAG,FTR
Swansea,Watford,1,1,D
Birmingham,Oxford,1,0,H
Coventry,QPR,7,1,H
Norwich,Middlesbrough,1,2,A
Preston,Ipswich,1,0,H
Sheffield United,Millwall,0,1,A
Southampton,Stoke,1,2,A
West Brom,Portsmouth,1,1,D
Wrexham,Sheffield Weds,2,2,D
Leicester,Birmingham,2,0,H
Middlesbrough,Sheffield United,1,0,H
QPR,Charlton,3,1,H
Stoke,West Brom,0,1,A
Blackburn,Norwich,0,2,A
Bristol City,Hull,4,2,H
Ipswich,Derby,2,2,D
Millwall,Wrexham,0,2,A
Oxford,Coventry,2,2,D
Portsmouth,Preston,1,0,H
Sheffield Weds,Swansea,0,2,A
Watford,Southampton,2,2,D
Ipswich,Sheffield United,5,0,H
Charlton,Millwall,1,1,D
Oxford,Leicester,2,2,D
Preston,Middlesbrough,2,2,D
Coventry,Norwich,1,1,D
Sheffield Weds,Bristol City,0,3,A
Stoke,Birmingham,1,0,H
Swansea,Hull,2,2,D
Watford,Blackburn,0,1,A
West Brom,Derby,0,1,A
Wrexham,QPR,1,3,A
Southampton,Portsmouth,0,0,D
Middlesbrough,West Brom,2,1,H
Birmingham,Swansea,1,0,H
Leicester,Coventry,0,0,D
QPR,Stoke,1,0,H
Derby,Preston,0,1,A
Hull,Southampton,3,1,H
Norwich,Wrexham,2,3,A
Portsmouth,Sheffield Weds,0,2,A
Sheffield United,Charlton,0,1,A
Bristol City,Oxford,1,3,A
Millwall,Watford,1,0,H
West Brom,Leicester,1,1,D
Coventry,Birmingham,3,0,H
Swansea,Millwall,1,1,D
Wrexham,Derby,1,1,D
Charlton,Blackburn,3,0,H
Ipswich,Portsmouth,2,1,H
Oxford,Sheffield United,0,1,A
Preston,Bristol City,0,0,D
Sheffield Weds,QPR,1,1,D
Southampton,Middlesbrough,1,1,D
Stoke,Norwich,1,1,D
Watford,Hull,2,1,H
Birmingham,Sheffield Weds,2,2,D
Blackburn,Swansea,1,2,A
Bristol City,Ipswich,1,1,D
Hull,Preston,2,2,D
Leicester,Wrexham,1,1,D
Middlesbrough,Stoke,0,0,D
Sheffield United,Southampton,1,2,A
Derby,Charlton,1,1,D
Millwall,Coventry,0,4,A
Norwich,West Brom,0,1,A
Portsmouth,Watford,2,2,D
QPR,Oxford,0,0,D
Wrexham,Birmingham,1,1,D
Blackburn,Stoke,1,1,D
Hull,Sheffield United,1,0,H
Sheffield Weds,Coventry,0,5,A
Bristol City,QPR,1,2,A
Derby,Southampton,1,1,D
Millwall,West Brom,3,0,H
Portsmouth,Middlesbrough,1,0,H
Preston,Charlton,2,0,H
Swansea,Leicester,1,3,A
Watford,Oxford,2,1,H
Ipswich,Norwich,3,1,H
Middlesbrough,Ipswich,2,1,H
Oxford,Derby,1,0,H
QPR,Millwall,1,2,A
Southampton,Swansea,0,0,D
Birmingham,Hull,2,3,A
Charlton,Sheffield Weds,2,1,H
Coventry,Blackburn,2,0,H
Norwich,Bristol City,0,1,A
Sheffield United,Watford,1,0,H
Stoke,Wrexham,1,0,H
West Brom,Preston,2,1,H
Leicester,Portsmouth,1,1,D
Blackburn,Sheffield United,1,3,A
Derby,Norwich,1,0,H
Hull,Leicester,2,1,H
Ipswich,Charlton,0,3,A
Millwall,Stoke,2,0,H
Portsmouth,Coventry,1,2,A
Preston,Birmingham,0,1,A
Bristol City,Southampton,3,1,H
Swansea,QPR,0,1,A
Watford,West Brom,2,1,H
Wrexham,Oxford,1,0,H
Sheffield Weds,Middlesbrough,0,1,A
Preston,Sheffield United,3,2,H
Coventry,Watford,3,1,H
Ipswich,West Brom,1,0,H
Portsmouth,Stoke,0,1,A
Blackburn,Southampton,2,1,H
Bristol City,Birmingham,1,0,H
Derby,QPR,1,0,H
Hull,Charlton,1,1,D
Middlesbrough,Wrexham,1,1,D
Millwall,Leicester,1,0,H
Sheffield Weds,Oxford,1,2,A
Swansea,Norwich,2,1,H
Wrexham,Coventry,3,2,H
Leicester,Blackburn,0,2,A
Norwich,Hull,0,2,A
West Brom,Sheffield Weds,0,0,D
Birmingham,Portsmouth,4,0,H
Charlton,Swansea,1,1,D
Oxford,Millwall,2,2,D
QPR,Ipswich,1,4,A
Sheffield United,Derby,1,3,A
Southampton,Preston,0,2,A
Stoke,Bristol City,5,1,H
Watford,Middlesbrough,3,0,H
Birmingham,Millwall,4,0,H
Bristol City,Blackburn,0,1,A
Charlton,West Brom,1,0,H
Derby,Hull,2,1,H
Ipswich,Watford,1,1,D
Leicester,Middlesbrough,1,1,D
Oxford,Stoke,0,3,A
Coventry,Sheffield United,3,1,H
Preston,Swansea,2,1,H
QPR,Southampton,1,2,A
Sheffield Weds,Norwich,1,1,D
Portsmouth,Wrexham,0,0,D
Watford,Bristol City,1,1,D
Blackburn,Derby,1,2,A
Hull,Portsmouth,3,2,H
Millwall,Preston,1,1,D
Middlesbrough,Birmingham,2,1,H
Norwich,Leicester,1,2,A
Sheffield United,QPR,0,0,D
Southampton,Sheffield Weds,3,1,H
Stoke,Coventry,0,1,A
Swansea,Ipswich,1,4,A
West Brom,Oxford,2,1,H
Wrexham,Charlton,1,0,H
Preston,Blackburn,1,2,A
Bristol City,Swansea,3,0,H
Charlton,Southampton,1,5,A
Coventry,West Brom,3,2,H
Birmingham,Norwich,4,1,H
Derby,Watford,2,3,A
Ipswich,Wrexham,0,0,D
Leicester,Stoke,2,1,H
Oxford,Middlesbrough,1,1,D
Portsmouth,Millwall,3,1,H
QPR,Hull,3,2,H
Sheffield Weds,Sheffield United,0,3,A
Hull,Ipswich,0,2,A
Middlesbrough,Coventry,2,4,A
Norwich,Oxford,1,1,D
Stoke,Charlton,3,0,H
Swansea,Derby,1,2,A
Watford,Preston,1,1,D
Southampton,Leicester,3,0,H
Blackburn,QPR,0,1,A
Millwall,Sheffield Weds,1,0,H
Sheffield United,Portsmouth,3,0,H
Wrexham,Bristol City,2,0,H
West Brom,Birmingham,1,1,D
Oxford,Ipswich,2,1,H
Leicester,Sheffield United,2,3,A
Portsmouth,Bristol City,0,1,A
Stoke,Hull,1,2,A
Coventry,Charlton,3,1,H
Middlesbrough,Derby,2,1,H
Millwall,Southampton,3,2,H
Norwich,QPR,3,1,H
Sheffield Weds,Preston,2,3,A
West Brom,Swansea,3,2,H
Wrexham,Blackburn,1,1,D
Birmingham,Watford,2,1,H
Blackburn,Ipswich,1,1,D
Hull,Middlesbrough,1,4,A
Derby,Leicester,1,3,A
Watford,Norwich,3,2,H
Bristol City,Millwall,0,1,A
Ipswich,Coventry,3,0,H
Preston,Wrexham,1,1,D
QPR,West Brom,3,1,H
Sheffield United,Stoke,4,0,H
Southampton,Birmingham,3,1,H
Swansea,Oxford,2,0,H
Blackburn,Oxford,1,1,D
Charlton,Middlesbrough,1,2,A
Preston,Coventry,1,1,D
Sheffield United,Norwich,1,1,D
Southampton,West Brom,3,2,H
Swansea,Portsmouth,1,0,H
Watford,Sheffield Weds,1,1,D
QPR,Birmingham,2,1,H
Bristol City,Leicester,2,2,D
Derby,Millwall,1,1,D
Ipswich,Stoke,1,0,H
Hull,Wrexham,2,0,H
West Brom,Sheffield United,2,0,H
Norwich,Southampton,2,1,H
Oxford,Preston,1,2,A
Stoke,Swansea,2,1,H
Birmingham,Charlton,1,1,D
Coventry,Bristol City,1,0,H
Leicester,Ipswich,3,1,H
Middlesbrough,QPR,3,1,H
Millwall,Hull,1,3,A
Portsmouth,Blackburn,2,1,H
Wrexham,Watford,2,2,D
Sheffield Weds,Derby,0,3,A
Swansea,Wrexham,2,1,H
Blackburn,Millwall,2,0,H
Preston,Norwich,1,1,D
Southampton,Coventry,1,1,D
Bristol City,Middlesbrough,2,0,H
Charlton,Oxford,1,0,H
Derby,Portsmouth,1,1,D
Hull,West Brom,1,0,H
Ipswich,Sheffield Weds,3,1,H
QPR,Leicester,4,1,H
Sheffield United,Birmingham,3,0,H
Watford,Stoke,1,0,H
Birmingham,Derby,1,1,D
Millwall,Ipswich,0,0,D
Coventry,Swansea,1,0,H
Leicester,Watford,1,2,A
Middlesbrough,Blackburn,0,0,D
Norwich,Charlton,1,0,H
Oxford,Southampton,2,1,H
Portsmouth,QPR,1,1,D
Sheffield Weds,Hull,2,2,D
Stoke,Preston,0,0,D
West Brom,Bristol City,1,2,A
Wrexham,Sheffield United,5,3,H
Coventry,Ipswich,0,2,A
Leicester,Derby,2,1,H
Middlesbrough,Hull,0,1,A
Millwall,Bristol City,2,1,H
Norwich,Watford,0,1,A
Oxford,Swansea,0,1,A
Portsmouth,Charlton,2,1,H
Sheffield Weds,Blackburn,0,0,D
Stoke,Sheffield United,1,2,A
West Brom,QPR,2,1,H
Wrexham,Preston,2,1,H
Birmingham,Southampton,1,1,D
Blackburn,Wrexham,0,2,A
Bristol City,Portsmouth,5,0,H
Charlton,Coventry,1,1,D
Derby,Middlesbrough,1,0,H
Hull,Stoke,0,1,A
Ipswich,Oxford,2,1,H
Preston,Sheffield Weds,3,0,H
QPR,Norwich,1,2,A
Southampton,Millwall,0,0,D
Swansea,West Brom,1,0,H
Watford,Birmingham,3,0,H
Sheffield United,Leicester,3,1,H
Birmingham,Coventry,3,2,H
QPR,Sheffield Weds,3,0,H
Blackburn,Charlton,2,2,D
Bristol City,Preston,0,2,A
Derby,Wrexham,1,2,A
Middlesbrough,Southampton,4,0,H
Millwall,Swansea,2,1,H
Norwich,Stoke,0,2,A
Leicester,West Brom,2,1,H
West Brom,Middlesbrough,2,3,A
Coventry,Leicester,2,1,H
Ipswich,Blackburn,3,0,H
Watford,Millwall,0,2,A
Charlton,Sheffield United,1,0,H
Oxford,Bristol City,0,0,D
Preston,Derby,0,1,A
Sheffield Weds,Portsmouth,0,1,A
Southampton,Hull,1,2,A
Stoke,QPR,0,0,D
Wrexham,Norwich,1,2,A
Swansea,Birmingham,1,1,D
Charlton,Derby,1,2,A
Coventry,Millwall,2,1,H
Ipswich,Bristol City,2,0,H
Oxford,QPR,0,0,D
Preston,Hull,0,3,A
Sheffield Weds,Birmingham,0,2,A
Swansea,Blackburn,3,1,H
West Brom,Norwich,0,5,A
Wrexham,Leicester,1,1,D
Southampton,Sheffield United,1,0,H
Watford,Portsmouth,1,1,D
Stoke,Middlesbrough,1,2,A
Derby,West Brom,1,1,D
Middlesbrough,Preston,4,0,H
Millwall,Charlton,4,0,H
Birmingham,Stoke,1,1,D
Blackburn,Watford,1,1,D
Bristol City,Sheffield Weds,2,0,H
Hull,Swansea,2,1,H
Leicester,Oxford,1,2,A
QPR,Wrexham,2,3,A
Sheffield United,Ipswich,3,1,H
Portsmouth,Southampton,1,1,D
Norwich,Coventry,2,1,H
Bristol City,Derby,0,5,A
Leicester,Charlton,0,2,A
Sheffield Weds,Wrexham,0,1,A
Stoke,Southampton,0,2,A
Blackburn,Hull,0,1,A
Ipswich,Preston,1,1,D
Middlesbrough,Norwich,1,0,H
Millwall,Sheffield United,1,1,D
Oxford,Birmingham,0,2,A
Portsmouth,West Brom,3,0,H
QPR,Coventry,2,1,H
Watford,Swansea,0,2,A
Blackburn,Sheffield Weds,1,0,H
Hull,Watford,0,0,D
Sheffield United,Oxford,3,1,H
Charlton,QPR,0,0,D
Derby,Ipswich,1,2,A
Norwich,Blackburn,2,0,H
Southampton,Watford,1,0,H
Birmingham,Leicester,2,1,H
Coventry,Oxford,0,0,D
Hull,Bristol City,2,3,A
Preston,Portsmouth,1,0,H
West Brom,Stoke,0,0,D
Wrexham,Millwall,0,2,A
Swansea,Sheffield Weds,4,0,H
Sheffield United,Middlesbrough,1,2,A
Leicester,Southampton,3,4,A
Oxford,Norwich,0,3,A
Birmingham,West Brom,0,0,D
Charlton,Stoke,1,0,H
Derby,Swansea,2,0,H
Portsmouth,Sheffield United,0,1,A
Preston,Watford,2,2,D
QPR,Blackburn,1,3,A
Sheffield Weds,Millwall,1,2,A
Coventry,Middlesbrough,3,1,H
Bristol City,Wrexham,2,2,D
Charlton,Portsmouth,1,3,A
Blackburn,Preston,1,0,H
Hull,QPR,1,3,A
Stoke,Leicester,2,2,D
Swansea,Bristol City,1,0,H
West Brom,Coventry,0,2,A
Middlesbrough,Oxford,0,0,D
Millwall,Portsmouth,1,3,A
Norwich,Birmingham,1,2,A
Southampton,Charlton,1,1,D
Watford,Derby,2,0,H
Wrexham,Ipswich,5,3,H
Sheffield United,Sheffield Weds,2,1,H
Blackburn,Bristol City,1,2,A
Hull,Derby,4,2,H
Middlesbrough,Leicester,1,1,D
Swansea,Preston,1,1,D
Watford,Ipswich,0,2,A
West Brom,Charlton,1,1,D
Wrexham,Portsmouth,2,1,H
Southampton,QPR,5,0,H
Millwall,Birmingham,3,0,H
Norwich,Sheffield Weds,2,0,H
Sheffield United,Coventry,1,2,A
Stoke,Oxford,2,1,H
Bristol City,Watford,1,2,A
Derby,Blackburn,3,1,H
Leicester,Norwich,0,2,A
Portsmouth,Hull,0,1,A
Charlton,Wrexham,0,1,A
Coventry,Stoke,2,1,H
Ipswich,Swansea,3,0,H
Oxford,West Brom,2,1,H
Preston,Millwall,0,2,A
QPR,Sheffield United,0,2,A
Sheffield Weds,Southampton,1,3,A
Birmingham,Middlesbrough,1,3,A
Ipswich,Hull,1,0,H
Preston,Oxford,1,3,A
Blackburn,Portsmouth,1,1,D
Hull,Millwall,1,3,A
Bristol City,Coventry,0,2,A
Charlton,Birmingham,1,0,H
Derby,Sheffield Weds,2,1,H
Ipswich,Leicester,1,1,D
Sheffield United,West Brom,1,1,D
Swansea,Stoke,2,0,H
QPR,Middlesbrough,0,4,A
Leicester,Bristol City,2,0,H
Millwall,Derby,1,0,H
Portsmouth,Swansea,1,2,A
Sheffield Weds,Watford,1,1,D
Wrexham,Hull,1,2,A
Stoke,Ipswich,3,3,D
Birmingham,QPR,1,0,H
Middlesbrough,Charlton,0,1,A
Norwich,Sheffield United,2,1,H
Oxford,Blackburn,1,0,H
West Brom,Southampton,1,1,D
Coventry,Preston,3,0,H
Wrexham,Swansea,2,0,H
Coventry,Southampton,1,2,A
Middlesbrough,Bristol City,1,1,D
Oxford,Charlton,1,1,D
Birmingham,Sheffield United,1,1,D
Leicester,QPR,1,3,A
Millwall,Blackburn,1,2,A
Norwich,Preston,2,0,H
Sheffield Weds,Ipswich,0,2,A
Stoke,Watford,3,1,H
West Brom,Hull,3,0,H
Portsmouth,Derby,0,1,A
Watford,Wrexham,3,1,H
Southampton,Norwich,1,0,H
Preston,Stoke,3,1,H
Blackburn,Middlesbrough,0,0,D
Derby,Birmingham,1,0,H
Ipswich,Millwall,1,1,D
Bristol City,West Brom,0,1,A
Charlton,Norwich,0,1,A
Hull,Sheffield Weds,3,1,H
QPR,Portsmouth,6,1,H
Sheffield United,Wrexham,1,2,A
Southampton,Oxford,2,0,H
Watford,Leicester,0,0,D
Swansea,Coventry,0,3,A
Middlesbrough,Millwall,1,2,A
Birmingham,Blackburn,0,1,A
Charlton,Bristol City,1,2,A
Leicester,Preston,2,2,D
Norwich,Portsmouth,1,1,D
Oxford,Hull,1,1,D
QPR,Watford,2,1,H
Sheffield United,Swansea,3,3,D
Stoke,Sheffield Weds,2,0,H
West Brom,Wrexham,2,2,D
Coventry,Derby,3,2,H
Portsmouth,Oxford,2,2,D
Millwall,Norwich,1,2,A
Blackburn,West Brom,0,0,D
Bristol City,Sheffield United,1,0,H
Derby,Stoke,2,0,H
Ipswich,Birmingham,2,1,H
Preston,QPR,1,1,D
Sheffield Weds,Leicester,1,1,D
Watford,Charlton,1,1,D
Swansea,Middlesbrough,2,2,D
Hull,Coventry,0,0,D
Wrexham,Southampton,1,5,A
West Brom,Millwall,0,0,D
Coventry,Sheffield Weds,0,0,D
Norwich,Ipswich,0,2,A
QPR,Bristol City,0,0,D
Charlton,Preston,1,2,A
Leicester,Swansea,0,1,A
Middlesbrough,Portsmouth,0,1,A
Oxford,Watford,2,0,H
Sheffield United,Hull,2,1,H
Southampton,Derby,2,1,H
Stoke,Blackburn,1,1,D
Birmingham,Wrexham,2,0,H
Portsmouth,Ipswich,2,0,H
Southampton,Blackburn,3,0,H
Blackburn,Coventry,1,1,D
Derby,Oxford,1,0,H
Millwall,QPR,2,0,H
Portsmouth,Leicester,1,0,H
Bristol City,Norwich,2,4,A
Hull,Birmingham,1,1,D
Preston,West Brom,0,2,A
Sheffield Weds,Charlton,1,1,D
Swansea,Southampton,1,2,A
Watford,Sheffield United,0,2,A
Wrexham,Stoke,2,0,H
Ipswich,Middlesbrough,2,2,D
Coventry,Portsmouth,5,1,H
Leicester,Hull,2,2,D
Norwich,Derby,2,1,H
Oxford,Wrexham,0,1,A
QPR,Swansea,1,2,A
Southampton,Bristol City,2,2,D
Stoke,Millwall,1,3,A
West Brom,Watford,3,0,H
Birmingham,Preston,2,1,H
Charlton,Ipswich,1,2,A
Middlesbrough,Sheffield Weds,1,0,H
Sheffield United,Blackburn,1,3,A
Leicester,Millwall,1,1,D
Charlton,Hull,2,1,H
Middlesbrough,Watford,5,1,H
West Brom,Ipswich,0,0,D
Birmingham,Bristol City,2,1,H
Norwich,Swansea,1,1,D
Oxford,Sheffield Weds,4,1,H
QPR,Derby,2,3,A
Sheffield United,Preston,2,3,A
Stoke,Portsmouth,1,3,A
Coventry,Wrexham,3,1,H
Southampton,Ipswich,2,2,D
Blackburn,Leicester,0,1,A
Bristol City,Stoke,2,0,H
Derby,Sheffield United,1,2,A
Hull,Norwich,2,1,H
Ipswich,QPR,3,0,H
Millwall,Oxford,2,0,H
Portsmouth,Birmingham,1,1,D
Preston,Southampton,1,3,A
Sheffield Weds,West Brom,2,1,H
Swansea,Charlton,3,1,H
Watford,Coventry,0,4,A
Wrexham,Middlesbrough,2,2,D
Girona,Vallecano,1,3,A
Villarreal,Oviedo,2,0,H
Mallorca,Barcelona,0,3,A
Alaves,Levante,2,1,H
Valencia,Sociedad,1,1,D
Celta,Getafe,0,2,A
Ath Bilbao,Sevilla,3,2,H
Espanol,Ath Madrid,2,1,H
Elche,Betis,1,1,D
Real Madrid,Osasuna,1,0,H
Betis,Alaves,1,0,H
Mallorca,Celta,1,1,D
Ath Madrid,Elche,1,1,D
Levante,Barcelona,2,3,A
Osasuna,Valencia,1,0,H
Sociedad,Espanol,2,2,D
Villarreal,Girona,5,0,H
Oviedo,Real Madrid,0,3,A
Ath Bilbao,Vallecano,1,0,H
Sevilla,Getafe,1,2,A
Celta,Betis,1,1,D
Elche,Levante,2,0,H
Valencia,Getafe,3,0,H
Alaves,Ath Madrid,1,1,D
Oviedo,Sociedad,1,0,H
Girona,Sevilla,0,2,A
Real Madrid,Mallorca,2,1,H
Celta,Villarreal,1,1,D
Betis,Ath Bilbao,1,2,A
Espanol,Osasuna,1,0,H
Vallecano,Barcelona,1,1,D
Sevilla,Elche,2,2,D
Getafe,Oviedo,2,0,H
Sociedad,Real Madrid,1,2,A
Ath Bilbao,Alaves,0,1,A
Ath Madrid,Villarreal,2,0,H
Celta,Girona,1,1,D
Levante,Betis,2,2,D
Osasuna,Vallecano,2,0,H
Barcelona,Valencia,6,0,H
Espanol,Mallorca,3,2,H
Betis,Sociedad,3,1,H
Girona,Levante,0,4,A
Real Madrid,Espanol,2,0,H
Alaves,Sevilla,1,2,A
Villarreal,Osasuna,2,1,H
Valencia,Ath Bilbao,2,0,H
Vallecano,Celta,1,1,D
Mallorca,Ath Madrid,1,1,D
Elche,Oviedo,1,0,H
Barcelona,Getafe,3,0,H
Ath Bilbao,Girona,1,1,D
Espanol,Valencia,2,2,D
Levante,Real Madrid,1,4,A
Sevilla,Villarreal,1,2,A
Getafe,Alaves,1,1,D
Ath Madrid,Vallecano,3,2,H
Sociedad,Mallorca,1,0,H
Osasuna,Elche,1,1,D
Oviedo,Barcelona,1,3,A
Girona,Espanol,0,0,D
Getafe,Levante,1,1,D
Ath Madrid,Real Madrid,5,2,H
Mallorca,Alaves,1,0,H
Villarreal,Ath Bilbao,1,0,H
Vallecano,Sevilla,0,1,A
Elche,Celta,2,1,H
Barcelona,Sociedad,2,1,H
Betis,Osasuna,2,0,H
Valencia,Oviedo,1,2,A
Osasuna,Getafe,2,1,H
Oviedo,Levante,0,2,A
Girona,Valencia,2,1,H
Ath Bilbao,Mallorca,2,1,H
Real Madrid,Villarreal,3,1,H
Alaves,Elche,3,1,H
Sevilla,Barcelona,4,1,H
Espanol,Betis,1,2,A
Sociedad,Vallecano,0,1,A
Celta,Ath Madrid,1,1,D
Oviedo,Espanol,0,2,A
Sevilla,Mallorca,1,3,A
Barcelona,Girona,2,1,H
Villarreal,Betis,2,2,D
Ath Madrid,Osasuna,1,0,H
Elche,Ath Bilbao,0,0,D
Celta,Sociedad,1,1,D
Levante,Vallecano,0,3,A
Getafe,Real Madrid,0,1,A
Alaves,Valencia,0,0,D
Sociedad,Sevilla,2,1,H
Girona,Oviedo,3,3,D
Espanol,Elche,1,0,H
Ath Bilbao,Getafe,0,1,A
Valencia,Villarreal,0,2,A
Mallorca,Levante,1,1,D
Real Madrid,Barcelona,2,1,H
Osasuna,Celta,2,3,A
Vallecano,Alaves,1,0,H
Betis,Ath Madrid,0,2,A
Getafe,Girona,2,1,H
Villarreal,Vallecano,4,0,H
Ath Madrid,Sevilla,3,0,H
Sociedad,Ath Bilbao,3,2,H
Real Madrid,Valencia,4,0,H
Levante,Celta,1,2,A
Alaves,Espanol,2,1,H
Barcelona,Elche,3,1,H
Betis,Mallorca,3,0,H
Oviedo,Osasuna,0,0,D
Elche,Sociedad,1,1,D
Girona,Alaves,1,0,H
Sevilla,Osasuna,1,0,H
Ath Madrid,Levante,3,1,H
Espanol,Villarreal,0,2,A
Ath Bilbao,Oviedo,1,0,H
Vallecano,Real Madrid,0,0,D
Mallorca,Getafe,1,0,H
Valencia,Betis,1,1,D
Celta,Barcelona,2,4,A
Valencia,Levante,1,0,H
Alaves,Celta,0,1,A
Barcelona,Ath Bilbao,4,0,H
Osasuna,Sociedad,1,3,A
Villarreal,Mallorca,2,1,H
Oviedo,Vallecano,0,0,D
Betis,Girona,1,1,D
Getafe,Ath Madrid,0,1,A
Elche,Real Madrid,2,2,D
Espanol,Sevilla,2,1,H
Getafe,Elche,1,0,H
Mallorca,Osasuna,2,2,D
Barcelona,Alaves,3,1,H
Levante,Ath Bilbao,0,2,A
Ath Madrid,Oviedo,2,0,H
Sociedad,Villarreal,2,3,A
Sevilla,Betis,0,2,A
Celta,Espanol,0,1,A
Girona,Real Madrid,1,1,D
Vallecano,Valencia,1,1,D
Barcelona,Ath Madrid,3,1,H
Ath Bilbao,Real Madrid,0,3,A
Oviedo,Mallorca,0,0,D
Villarreal,Getafe,2,0,H
Alaves,Sociedad,1,0,H
Betis,Barcelona,3,5,A
Ath Bilbao,Ath Madrid,1,0,H
Elche,Girona,3,0,H
Valencia,Sevilla,1,1,D
Espanol,Vallecano,1,0,H
Real Madrid,Celta,0,2,A
Osasuna,Levante,2,0,H
Sociedad,Girona,1,2,A
Ath Madrid,Valencia,2,1,H
Mallorca,Elche,3,1,H
Barcelona,Osasuna,2,0,H
Getafe,Espanol,0,1,A
Sevilla,Oviedo,4,0,H
Celta,Ath Bilbao,2,0,H
Alaves,Real Madrid,1,2,A
Vallecano,Betis,0,0,D
Valencia,Mallorca,1,1,D
Oviedo,Celta,0,0,D
Levante,Sociedad,1,1,D
Osasuna,Alaves,3,0,H
Real Madrid,Sevilla,2,0,H
Girona,Ath Madrid,0,3,A
Villarreal,Barcelona,0,2,A
Elche,Vallecano,4,0,H
Betis,Getafe,4,0,H
Ath Bilbao,Espanol,1,2,A
Vallecano,Getafe,1,1,D
Celta,Valencia,4,1,H
Osasuna,Ath Bilbao,1,1,D
Elche,Villarreal,1,3,A
Espanol,Barcelona,0,2,A
Sevilla,Levante,0,3,A
Real Madrid,Betis,5,1,H
Alaves,Oviedo,1,1,D
Mallorca,Girona,1,2,A
Sociedad,Ath Madrid,1,1,D
Getafe,Sociedad,1,2,A
Oviedo,Betis,1,1,D
Villarreal,Alaves,3,1,H
Girona,Osasuna,1,0,H
Valencia,Elche,1,1,D
Vallecano,Mallorca,2,1,H
Levante,Espanol,1,1,D
Sevilla,Celta,0,1,A
Espanol,Girona,0,2,A
Real Madrid,Levante,2,0,H
Mallorca,Ath Bilbao,3,2,H
Osasuna,Oviedo,3,2,H
Betis,Villarreal,2,0,H
Getafe,Valencia,0,1,A
Ath Madrid,Alaves,1,0,H
Celta,Vallecano,3,0,H
Sociedad,Barcelona,2,1,H
Elche,Sevilla,2,2,D
Levante,Elche,3,2,H
Vallecano,Osasuna,1,3,A
Valencia,Espanol,3,2,H
Sevilla,Ath Bilbao,2,1,H
Villarreal,Real Madrid,0,2,A
Ath Madrid,Mallorca,3,0,H
Barcelona,Oviedo,3,0,H
Sociedad,Celta,3,1,H
Alaves,Betis,2,1,H
Girona,Getafe,1,1,D
Espanol,Alaves,1,2,A
Oviedo,Girona,1,0,H
Osasuna,Villarreal,2,2,D
Levante,Ath Madrid,0,0,D
Elche,Barcelona,1,3,A
Real Madrid,Vallecano,2,1,H
Betis,Valencia,2,1,H
Getafe,Celta,0,0,D
Ath Bilbao,Sociedad,1,1,D
Mallorca,Sevilla,4,1,H
Celta,Osasuna,1,2,A
Barcelona,Mallorca,3,0,H
Sociedad,Elche,3,1,H
Alaves,Getafe,0,2,A
